symbol,date,flip,conf,strength,dir,entry_close,fwd1,fwd3,fwd5
360ONE,2025-07-22,BULLISH_TO_BEARISH,74.0,STRONG,-1.0,1125.0,0.568888888888897,4.480000000000008,5.759999999999995
360ONE,2025-10-23,BEARISH_TO_BULLISH,48.2,MODERATE,1.0,1185.7,-1.0710972421354512,-4.975963565826095,-8.855528379859997
360ONE,2025-11-13,BEARISH_TO_BULLISH,37.1,MODERATE,1.0,1065.4,0.6007133470996681,5.049746574056687,6.973906513985353
360ONE,2025-11-21,BULLISH_TO_BEARISH,40.1,MODERATE,-1.0,1129.8,0.8674101610904545,-3.2572136661355953,-5.266418835192069
360ONE,2025-11-24,BEARISH_TO_BULLISH,48.2,MODERATE,1.0,1120.0,2.6785714285714284,5.642857142857147,3.8303571428571512
360ONE,2025-11-27,BEARISH_TO_BULLISH,52.6,MODERATE,1.0,1183.2,0.5155510480054013,-2.9665314401622833,-3.0764029749831043
360ONE,2025-11-28,BULLISH_TO_BEARISH,44.1,MODERATE,-1.0,1189.3,2.219793155637759,5.162700748339348,5.145884133523926
360ONE,2025-12-19,BEARISH_TO_BULLISH,23.3,WEAK,1.0,1165.45,1.3900210219228664,1.196962546655802,2.2437685014372013
360ONE,2025-12-29,BULLISH_TO_BEARISH,8.9,WEAK,-1.0,1191.6,0.13427324605571578,-0.7175226586102873,0.3860355824101972
360ONE,2025-12-30,BEARISH_TO_BULLISH,35.5,MODERATE,1.0,1190.0,-0.865546218487391,0.7563025210084033,0.15126050420167686
360ONE,2026-01-16,BULLISH_TO_BEARISH,29.5,WEAK,-1.0,1170.1,3.4655157678830832,5.452525425177332,4.8201008460815205
360ONE,2026-04-09,BEARISH_TO_BULLISH,40.1,MODERATE,1.0,1012.65,-0.3110650274033454,6.3003011899471755,9.539327507035997
360ONE,2026-04-23,BEARISH_TO_BULLISH,61.8,STRONG,1.0,1039.6,0.23566756444786896,0.692574066948831,2.58753366679493
360ONE,2026-05-15,BULLISH_TO_BEARISH,28.4,WEAK,-1.0,1104.9,0.5882885328989049,-0.6244909041542097,-3.3939723051859896
360ONE,2026-05-18,BEARISH_TO_BULLISH,29.4,WEAK,1.0,1098.4,0.8193736343772761,1.274581209031318,2.4490167516387347
360ONE,2026-06-16,BULLISH_TO_BEARISH,64.4,STRONG,-1.0,1136.9,-0.38701732782125636,-0.20230451227020446,3.2544638930424834
360ONE,2026-07-20,BULLISH_TO_BEARISH,39.9,MODERATE,-1.0,1119.7,2.3309815129052542,,
AARTIIND,2025-06-27,BULLISH_TO_BEARISH,23.1,WEAK,-1.0,479.45,-1.0428616122640526,-0.0,2.6488684951506913
AARTIIND,2025-07-15,BEARISH_TO_BULLISH,74.6,STRONG,1.0,455.85,0.09871668311944469,-3.0602171767028725,-6.3288362399912295
AARTIIND,2025-07-18,BULLISH_TO_BEARISH,75.6,STRONG,-1.0,441.9,4.288300520479744,1.8556234442181463,3.0323602625028236
AARTIIND,2025-07-23,BEARISH_TO_BULLISH,69.8,STRONG,1.0,433.7,-0.7954807470601772,1.936822688494359,-3.147336868803315
ABB,2025-06-27,BULLISH_TO_BEARISH,26.4,WEAK,-1.0,6080.5,2.154428089795247,3.4372173341008136,3.8894827727982895
ABB,2025-07-22,BULLISH_TO_BEARISH,33.1,WEAK,-1.0,5711.0,0.21012081947119596,2.880406233584311,2.7490807214148134
ABB,2025-08-25,BEARISH_TO_BULLISH,28.9,WEAK,1.0,5022.0,-0.42811628833134213,2.0987654320987583,3.3134209478295427
ABB,2025-09-22,BULLISH_TO_BEARISH,30.1,WEAK,-1.0,5298.7,1.1587747938173445,2.3628437163832605,2.1778926906599665
ABB,2025-10-17,BULLISH_TO_BEARISH,24.0,WEAK,-1.0,5231.45,-0.16725764367431592,0.9643597855279095,1.069493161551765
ABB,2025-11-18,BULLISH_TO_BEARISH,22.5,WEAK,-1.0,5082.95,-1.2561603006128403,0.5105303022850868,-2.2536125675050944
ABB,2025-11-20,BEARISH_TO_BULLISH,21.4,WEAK,1.0,5092.0,-0.6873527101335428,2.0718774548311076,1.6280439905734416
ABB,2025-12-12,BEARISH_TO_BULLISH,25.0,WEAK,1.0,5285.05,-0.8164539597544118,-3.5534195513760545,-1.9668688091881783
ABB,2025-12-19,BEARISH_TO_BULLISH,20.3,WEAK,1.0,5181.1,0.44199108297465084,0.0347416571770333,-0.8202891277913956
ABB,2026-02-20,BEARISH_TO_BULLISH,43.6,MODERATE,1.0,5917.45,2.3405351967485997,3.6383915368951185,1.109430582429941
ABB,2026-02-23,BULLISH_TO_BEARISH,23.9,WEAK,-1.0,6055.95,-1.8411644746076175,-0.2815412940991947,3.7236106638925355
ABB,2026-02-24,BEARISH_TO_BULLISH,64.7,STRONG,1.0,6167.45,-0.5626312333298173,-2.9890797655432872,-3.866265636527249
ABB,2026-03-09,BULLISH_TO_BEARISH,30.5,WEAK,-1.0,6224.45,-0.8924483287680066,-2.709476339274965,-1.383254745399198
ABB,2026-03-19,BULLISH_TO_BEARISH,22.5,WEAK,-1.0,6297.0,4.0590757503573185,1.3419088454819756,5.647133555661432
ABB,2026-03-20,BEARISH_TO_BULLISH,50.1,MODERATE,1.0,6041.4,1.9953984175853312,1.0535637435031706,0.3533949084649314
ABB,2026-03-23,BULLISH_TO_BEARISH,52.7,MODERATE,-1.0,6161.95,-0.8203571921226265,3.5792241092511325,0.3229497155932722
ABB,2026-04-07,BEARISH_TO_BULLISH,37.5,MODERATE,1.0,6565.0,0.7463823305407463,4.013709063214014,4.851485148514851
ABB,2026-04-27,BEARISH_TO_BULLISH,46.6,MODERATE,1.0,7288.0,-0.3224478594950604,-0.7066410537870471,-1.4475850713501648
ABB,2026-06-23,BEARISH_TO_BULLISH,23.6,WEAK,1.0,6967.0,0.37318788574709344,0.9186163341466916,-1.5214583034304578
ABB,2026-06-30,BEARISH_TO_BULLISH,25.5,WEAK,1.0,6937.0,-1.0955744558166356,1.9605016577771373,-2.3857575320743836
ABB,2026-07-17,BULLISH_TO_BEARISH,61.6,STRONG,-1.0,7517.0,-0.1995476918983637,,
ABCAPITAL,2025-06-27,BULLISH_TO_BEARISH,65.5,STRONG,-1.0,276.6,-1.5184381778741822,1.4461315979754157,0.1265365148228571
ABCAPITAL,2025-06-30,BEARISH_TO_BULLISH,66.2,STRONG,1.0,280.8,-2.5284900284900367,-2.0477207977207974,-1.2108262108262229
ABCAPITAL,2025-07-07,BEARISH_TO_BULLISH,70.6,STRONG,1.0,277.4,-1.4780100937274572,-2.8658976207642355,-2.3972602739725946
ABCAPITAL,2025-07-08,BULLISH_TO_BEARISH,29.6,WEAK,-1.0,273.3,0.4756677643615116,0.658616904500553,1.1342846688620647
ABCAPITAL,2025-07-10,BEARISH_TO_BULLISH,41.7,MODERATE,1.0,269.45,0.7608090554833963,0.278344776396363,-1.8927444794952557
ABCAPITAL,2025-07-11,BULLISH_TO_BEARISH,40.6,MODERATE,-1.0,271.5,0.2762430939226519,0.9208103130755065,0.165745856353587
ABCAPITAL,2025-07-15,BEARISH_TO_BULLISH,41.7,MODERATE,1.0,270.2,-0.4441154700222016,0.3145817912657375,-0.5921539600295951
ABCAPITAL,2025-07-16,BULLISH_TO_BEARISH,28.1,WEAK,-1.0,269.0,1.7286245353159768,0.16728624535315562,-0.7249070631970218
ABCAPITAL,2025-07-18,BEARISH_TO_BULLISH,45.3,MODERATE,1.0,271.05,-0.9223390518354546,-0.036893562073426575,-6.38258623870135
ABCAPITAL,2025-07-21,BULLISH_TO_BEARISH,29.0,WEAK,-1.0,268.55,-0.018618506795759215,3.0534351145038126,6.0323962018246196
ABCAPITAL,2025-07-22,BEARISH_TO_BULLISH,22.7,WEAK,1.0,268.6,0.8749069247952218,-5.528667163067767,-7.371556217423682
ABCAPITAL,2025-07-24,BULLISH_TO_BEARISH,51.5,MODERATE,-1.0,260.35,2.535048972536978,4.436335701939701,3.4184751296331988
ABCAPITAL,2025-07-29,BEARISH_TO_BULLISH,59.4,MODERATE,1.0,248.8,3.155144694533748,11.917202572347257,11.394694533762044
ABCAPITAL,2025-07-30,BULLISH_TO_BEARISH,31.6,WEAK,-1.0,256.65,2.026105591272156,-9.877264757451792,-8.377167348529126
ABCAPITAL,2025-07-31,BEARISH_TO_BULLISH,45.1,MODERATE,1.0,251.45,10.737721216941738,10.220719825014909,8.093060250546838
ABCAPITAL,2025-08-04,BULLISH_TO_BEARISH,65.0,STRONG,-1.0,282.0,1.7198581560283768,3.617021276595741,4.946808510638294
ABCAPITAL,2025-08-05,BEARISH_TO_BULLISH,78.4,STRONG,1.0,277.15,0.3608154429009562,-2.146851885260685,-2.6880750496121193
ABCAPITAL,2025-08-06,BULLISH_TO_BEARISH,54.0,MODERATE,-1.0,278.15,2.282940859248595,3.631134280064701,1.8515189645874448
ABCAPITAL,2025-08-14,BEARISH_TO_BULLISH,81.4,STRONG,1.0,283.15,1.4833127317676305,2.878333039025264,0.7239978809818158
ABCAPITAL,2025-08-20,BULLISH_TO_BEARISH,71.8,STRONG,-1.0,291.3,1.6992790937178128,3.535873669756269,4.617233093031235
ABCAPITAL,2025-08-25,BEARISH_TO_BULLISH,61.6,STRONG,1.0,281.0,-1.2633451957295414,-0.33807829181494253,-0.6227758007117438
ABCAPITAL,2025-09-08,BEARISH_TO_BULLISH,95.9,STRONG,1.0,289.7,-0.7076285812909947,0.6213324128408738,0.08629616845012082
ABCAPITAL,2025-09-09,BULLISH_TO_BEARISH,52.0,MODERATE,-1.0,287.65,-0.8169650617069434,-1.0603163566834737,1.286285416304533
ABCAPITAL,2025-09-18,BEARISH_TO_BULLISH,77.2,STRONG,1.0,289.15,-0.3458412588621823,0.9683555248141142,-3.5448729033373683
ABCAPITAL,2025-09-19,BULLISH_TO_BEARISH,27.8,WEAK,-1.0,288.15,-1.1452368558042725,0.5726184279021265,-0.5899705014749421
ABCAPITAL,2025-09-23,BEARISH_TO_BULLISH,59.8,MODERATE,1.0,291.95,-1.8667580065079599,-0.7193012502140661,2.7059427984243998
ABCAPITAL,2025-09-24,BULLISH_TO_BEARISH,52.0,MODERATE,-1.0,286.5,2.6527050610820324,-2.0418848167539347,-6.090750436300171
ABCAPITAL,2025-10-03,BULLISH_TO_BEARISH,44.3,MODERATE,-1.0,304.05,0.18089130077290294,2.006248972208526,1.6280217069560887
ABCAPITAL,2025-10-06,BEARISH_TO_BULLISH,48.2,MODERATE,1.0,303.5,-2.7182866556836904,-3.3443163097199267,-1.8121911037891267
ABCAPITAL,2025-10-08,BULLISH_TO_BEARISH,98.6,STRONG,-1.0,297.95,1.5438832018794986,-0.016781339150868057,-0.6880349051854376
