symbol,holding_days,trades,avg_return_pct,median_return_pct,total_return_pct,best_return_pct,worst_return_pct,win_rate_pct,stop_rate_pct,expectancy_rank
COALINDIA,5,62,-1.268,-1.834,-78.606,6.991,-6.03,19.355,38.71,-1.932
TORNTPOWER,15,34,-2.816,-4.457,-95.74,16.755,-7.2,11.765,85.294,-1.932
HCLTECH,10,68,-0.593,-0.673,-40.301,8.4,-6.616,39.706,47.059,-1.941
HDFCAMC,5,26,-1.65,-0.987,-42.909,0.84,-5.826,23.077,69.231,-1.942
RBLBANK,5,86,-0.546,-1.136,-46.996,10.621,-7.2,38.372,53.488,-1.945
ONGC,3,91,-0.505,-0.546,-45.922,4.446,-5.103,40.659,21.978,-1.957
TATAPOWER,15,47,-1.346,-1.576,-63.28,6.607,-7.2,21.277,76.596,-1.964
NAM-INDIA,10,20,-1.1,-1.053,-21.996,6.081,-7.2,40.0,35.0,-1.967
GODREJCP,15,27,-0.734,0.334,-19.831,7.329,-7.2,51.852,48.148,-1.979
COLPAL,3,10,-3.156,-1.786,-31.565,0.443,-7.2,20.0,50.0,-1.996
360ONE,10,42,-1.86,-2.67,-78.116,4.888,-7.2,16.667,61.905,-2.009
IOC,10,93,-1.083,-1.671,-100.72,10.961,-7.2,19.355,64.516,-2.021
LT,5,92,-0.572,-0.749,-52.584,2.371,-7.2,36.957,35.87,-2.026
COALINDIA,10,62,-1.774,-2.672,-109.958,7.456,-6.03,14.516,67.742,-2.027
INDUSTOWER,3,83,-0.596,-1.094,-49.471,4.402,-4.333,37.349,39.759,-2.028
PREMIERENE,5,36,-0.871,-2.091,-31.343,8.416,-7.2,38.889,30.556,-2.031
NMDC,15,72,-2.464,-2.459,-177.374,3.592,-7.2,9.722,76.389,-2.032
INFY,10,42,-0.824,-0.781,-34.622,3.164,-7.2,38.095,47.619,-2.035
LUPIN,10,81,-1.033,-1.139,-83.663,6.033,-6.131,22.222,53.086,-2.066
NBCC,5,45,-1.271,-1.867,-57.184,8.914,-7.2,24.444,46.667,-2.084
RBLBANK,3,87,-0.608,-0.812,-52.928,7.962,-7.2,36.782,29.885,-2.087
SAIL,3,97,-0.709,-1.227,-68.768,5.232,-6.604,29.897,49.485,-2.087
OIL,15,39,-1.63,-1.984,-63.557,6.421,-7.2,20.513,74.359,-2.088
NMDC,3,72,-0.683,-0.865,-49.151,4.211,-4.392,36.111,40.278,-2.092
360ONE,5,43,-1.254,-1.17,-53.912,3.075,-7.2,25.581,48.837,-2.103
BPCL,5,67,-1.156,-1.324,-77.451,4.021,-4.506,22.388,55.224,-2.118
FORTIS,10,59,-1.358,-1.771,-80.152,9.754,-7.2,20.339,77.966,-2.122
KEI,15,73,-1.65,-1.912,-120.454,5.916,-7.2,15.068,82.192,-2.124
HUDCO,10,27,-2.216,-1.233,-59.839,1.888,-7.2,18.519,62.963,-2.133
CUMMINSIND,3,116,-0.526,-0.802,-60.99,11.029,-7.2,37.931,41.379,-2.148
360ONE,3,45,-1.11,-0.84,-49.942,3.276,-7.2,28.889,31.111,-2.151
MFSL,15,41,-2.759,-1.715,-113.128,0.769,-7.2,12.195,85.366,-2.155
ALKEM,5,50,-1.093,-1.061,-54.661,2.478,-5.958,28.0,48.0,-2.164
CHOLAFIN,3,51,-1.409,-1.86,-71.858,5.029,-6.026,21.569,62.745,-2.17
MANAPPURAM,10,66,-1.177,-2.214,-77.714,9.318,-7.2,22.727,69.697,-2.174
MAZDOCK,5,13,-1.121,0.805,-14.567,1.505,-6.472,53.846,46.154,-2.175
NUVAMA,10,43,-1.795,-2.866,-77.168,8.994,-7.2,18.605,74.419,-2.189
CUMMINSIND,5,112,-0.596,-0.706,-66.78,9.214,-7.2,34.821,46.429,-2.197
PNB,15,86,-1.072,-1.659,-92.215,6.899,-5.546,22.093,69.767,-2.197
SAIL,15,97,-2.004,-2.145,-194.396,13.749,-7.2,11.34,83.505,-2.238
HUDCO,5,27,-1.943,-1.72,-52.452,3.246,-7.2,22.222,55.556,-2.243
TVSMOTOR,5,53,-1.362,-1.514,-72.184,3.643,-4.817,22.642,58.491,-2.245
IOC,5,93,-0.749,-0.843,-69.67,8.994,-7.2,31.183,56.989,-2.253
MARICO,10,59,-2.168,-1.979,-127.941,5.645,-7.2,13.559,62.712,-2.259
SAIL,5,97,-1.237,-1.313,-119.971,6.354,-7.2,18.557,58.763,-2.26
NYKAA,15,65,-2.604,-3.056,-169.286,4.141,-7.2,10.769,83.077,-2.261
BLUESTARCO,15,35,-2.235,-1.14,-78.24,9.644,-7.2,17.143,74.286,-2.267
LUPIN,5,81,-0.852,-0.832,-69.028,5.402,-6.131,29.63,51.852,-2.273
AMBER,15,34,-3.374,-3.11,-114.706,1.703,-7.2,11.765,88.235,-2.314
COALINDIA,15,59,-1.78,-2.672,-104.995,6.546,-6.03,16.949,74.576,-2.317
HAL,10,29,-1.405,-1.228,-40.743,5.883,-7.2,31.034,65.517,-2.348
VBL,15,48,-1.816,-1.96,-87.153,3.567,-7.2,18.75,77.083,-2.359
PNB,10,86,-0.878,-1.192,-75.509,4.553,-5.26,29.07,62.791,-2.367
TATASTEEL,10,114,-0.744,-1.267,-84.83,10.618,-7.2,29.825,64.912,-2.37
JINDALSTEL,5,57,-0.996,-1.218,-56.768,5.277,-4.964,31.579,56.14,-2.374
NBCC,15,42,-1.542,-3.234,-64.754,12.007,-7.2,23.81,76.19,-2.379
HCLTECH,15,68,-0.859,-1.177,-58.385,7.318,-7.2,33.824,60.294,-2.395
PGEL,3,18,-1.275,-0.851,-22.95,1.906,-7.2,44.444,38.889,-2.404
NBCC,3,48,-1.113,-1.347,-53.412,4.276,-7.2,31.25,41.667,-2.409
NYKAA,5,68,-1.248,-1.624,-84.841,9.151,-4.962,23.529,47.059,-2.421
CROMPTON,3,21,-1.6,-2.875,-33.594,1.768,-5.302,33.333,23.81,-2.444
LUPIN,15,81,-1.47,-1.553,-119.064,4.382,-6.328,18.519,66.667,-2.45
ONGC,5,91,-0.618,-0.365,-56.204,6.229,-7.2,41.758,31.868,-2.46
HAL,15,29,-2.217,-1.641,-64.299,2.164,-7.2,20.69,79.31,-2.47
