symbol,holding_days,trades,avg_return_pct,median_return_pct,total_return_pct,best_return_pct,worst_return_pct,win_rate_pct,stop_rate_pct,expectancy_rank
IIFL,10,44,0.841,-0.428,37.01,14.251,-6.503,43.182,47.727,2.409
AUBANK,3,78,0.505,0.136,39.385,7.881,-3.615,53.846,24.359,2.401
YESBANK,3,71,0.665,-0.292,47.225,9.613,-3.836,42.254,40.845,2.368
BANDHANBNK,15,60,0.803,-1.407,48.194,18.335,-7.2,36.667,63.333,2.281
INDIGO,5,11,1.251,1.996,13.766,3.98,-1.75,54.545,45.455,2.264
SBIN,5,141,0.378,-0.331,53.366,11.239,-4.335,47.518,31.915,2.136
ASIANPAINT,10,50,0.48,0.341,23.991,9.854,-3.259,60.0,36.0,2.036
POLYCAB,5,75,0.5,-0.507,37.516,8.401,-7.2,46.667,37.333,2.022
LTF,5,105,0.41,-0.418,43.089,12.37,-6.156,47.619,40.952,2.002
ADANIENSOL,15,77,0.823,-2.668,63.383,45.074,-7.2,27.273,57.143,1.97
PIDILITIND,15,15,1.507,-0.772,22.612,7.051,-2.288,33.333,53.333,1.946
IDFCFIRSTB,10,71,0.542,-0.659,38.506,7.219,-4.102,40.845,47.887,1.867
NAM-INDIA,15,19,0.779,1.453,14.798,7.759,-7.2,52.632,31.579,1.787
BANKBARODA,5,82,0.377,0.028,30.921,5.922,-3.697,51.22,35.366,1.749
NATIONALUM,3,175,0.284,-0.17,49.677,13.992,-7.2,44.571,34.857,1.674
NATIONALUM,5,175,0.272,-0.591,47.609,17.94,-7.2,46.286,45.714,1.666
DMART,3,32,0.815,-0.874,26.088,11.725,-4.386,34.375,56.25,1.585
MOTILALOFS,3,25,0.563,0.426,14.087,9.364,-5.765,56.0,12.0,1.578
BHARATFORG,10,87,0.504,-1.245,43.83,14.984,-7.2,33.333,58.621,1.566
LTF,3,105,0.352,-0.151,36.995,8.274,-6.072,42.857,31.429,1.547
VEDL,10,120,0.39,-0.539,46.821,18.247,-7.2,35.833,55.0,1.532
PHOENIXLTD,5,74,0.397,-0.36,29.388,6.459,-3.32,44.595,40.541,1.523
POLYCAB,3,81,0.38,-0.294,30.804,7.653,-7.2,44.444,30.864,1.521
APLAPOLLO,15,63,0.48,-0.722,30.246,12.095,-6.867,39.683,55.556,1.512
IIFL,5,44,0.471,-0.076,20.722,10.308,-6.503,47.727,34.091,1.491
SOLARINDS,10,36,0.886,-0.999,31.898,17.159,-5.58,27.778,52.778,1.477
ASTRAL,5,40,0.517,-0.206,20.698,9.156,-4.417,45.0,47.5,1.473
ICICIPRULI,10,26,0.615,-0.208,15.988,5.123,-4.332,46.154,30.769,1.447
LTIM,5,64,0.331,0.244,21.209,4.971,-4.131,53.125,39.062,1.408
ASIANPAINT,15,50,0.41,-0.512,20.486,9.77,-4.112,48.0,52.0,1.391
UNIONBANK,3,95,0.294,-0.298,27.898,9.445,-3.189,47.368,17.895,1.356
ABB,3,49,0.452,-0.517,22.139,7.348,-3.764,42.857,44.898,1.355
FEDERALBNK,5,173,0.208,-0.392,36.051,7.902,-7.2,49.133,47.399,1.347
HEROMOTOCO,10,54,0.433,-0.366,23.39,7.97,-2.578,40.741,42.593,1.297
INDHOTEL,3,38,0.45,-0.703,17.116,4.216,-1.891,42.105,50.0,1.169
BANDHANBNK,10,62,0.34,-0.574,21.079,10.508,-7.2,43.548,48.387,1.166
APLAPOLLO,10,63,0.416,-0.722,26.187,9.7,-4.268,34.921,52.381,1.152
ABCAPITAL,3,109,0.241,-0.498,26.238,6.079,-4.047,44.954,34.862,1.13
GODREJPROP,3,17,0.72,-0.36,12.241,7.954,-4.248,35.294,23.529,1.048
ABCAPITAL,15,104,0.294,-0.666,30.613,9.158,-7.2,34.615,58.654,1.039
HINDALCO,10,161,0.235,-1.132,37.904,12.38,-7.2,34.783,51.553,1.039
DMART,5,32,0.731,-0.967,23.377,16.5,-4.585,25.0,68.75,1.033
APLAPOLLO,5,63,0.255,-0.032,16.045,6.292,-4.268,49.206,36.508,0.995
IDEA,15,79,0.359,-1.398,28.327,17.408,-7.2,30.38,67.089,0.968
BLUESTARCO,5,35,0.357,-0.447,12.488,5.707,-3.2,45.714,34.286,0.965
BHARATFORG,5,88,0.273,-0.702,24.065,9.557,-7.2,37.5,44.318,0.962
AUROPHARMA,15,73,0.313,-1.326,22.871,10.914,-7.2,34.247,63.014,0.917
GODREJPROP,5,17,0.619,-0.772,10.522,10.726,-7.2,35.294,29.412,0.901
ABCAPITAL,5,109,0.211,-0.717,22.978,6.433,-4.31,38.532,45.872,0.848
APLAPOLLO,3,63,0.219,-0.209,13.792,5.139,-4.268,47.619,28.571,0.827
CANBK,5,102,0.183,-0.622,18.688,6.863,-5.263,44.118,37.255,0.816
SBIN,3,141,0.136,0.001,19.194,6.725,-4.335,50.355,31.915,0.814
IDFCFIRSTB,5,73,0.231,-0.238,16.856,6.19,-4.102,41.096,41.096,0.811
AUROPHARMA,5,73,0.203,-0.407,14.784,6.028,-4.555,46.575,39.726,0.806
HINDALCO,15,161,0.179,-1.216,28.848,11.223,-7.2,33.54,61.491,0.763
ADANIENSOL,3,88,0.208,-0.738,18.265,11.304,-7.2,38.636,30.682,0.752
BHEL,3,98,0.155,-0.831,15.226,8.141,-7.2,47.959,38.776,0.738
ICICIPRULI,15,26,0.337,-0.709,8.754,5.27,-4.332,42.308,30.769,0.726
KPITTECH,3,26,0.248,0.032,6.457,4.148,-3.026,50.0,15.385,0.633
PHOENIXLTD,10,69,0.194,-0.647,13.402,7.732,-4.807,36.232,50.725,0.585
IIFL,3,44,0.204,-0.382,8.98,6.846,-4.436,40.909,29.545,0.554
ABB,15,45,0.309,-1.251,13.908,17.824,-6.228,26.667,68.889,0.553
BANKINDIA,15,103,0.196,-1.527,20.195,12.14,-7.2,27.184,70.874,0.541
ZYDUSLIFE,3,43,0.16,0.144,6.898,3.601,-3.856,51.163,20.93,0.538
PHOENIXLTD,3,76,0.135,-0.297,10.263,5.193,-3.32,44.737,36.842,0.527
EICHERMOT,3,85,0.122,-0.158,10.407,6.398,-3.553,45.882,38.824,0.518
SBICARD,3,17,0.203,0.458,3.455,3.179,-3.34,58.824,23.529,0.493
KEI,3,78,0.122,-0.427,9.548,5.031,-7.2,43.59,38.462,0.471
PHOENIXLTD,15,69,0.169,-0.698,11.657,8.855,-5.865,33.333,53.623,0.468
ASTRAL,3,40,0.19,-0.307,7.58,5.942,-4.417,37.5,40.0,0.449
HAL,5,29,0.191,-1.138,5.547,9.759,-7.2,41.379,48.276,0.426
SOLARINDS,3,36,0.151,-0.315,5.434,13.17,-3.873,44.444,38.889,0.403
SUNPHARMA,15,85,0.091,-0.642,7.71,5.368,-4.96,47.059,47.059,0.394
TIINDIA,3,49,0.122,-0.151,5.994,8.201,-4.432,44.898,34.694,0.384
KEI,5,77,0.133,-0.823,10.215,9.528,-7.2,32.468,46.753,0.378
DMART,10,32,0.248,-0.967,7.935,14.571,-7.2,25.0,75.0,0.351
HAL,3,29,0.135,-1.138,3.912,6.019,-7.2,48.276,34.483,0.351
NTPC,3,71,0.088,-0.12,6.282,6.265,-3.787,46.479,43.662,0.347
UNITDSPR,3,21,0.143,0.255,2.996,4.139,-2.971,52.381,38.095,0.342
PIDILITIND,5,26,0.196,-0.465,5.086,5.605,-2.288,30.769,30.769,0.307
DMART,15,32,0.272,-0.984,8.694,17.688,-7.2,18.75,75.0,0.288
IDFCFIRSTB,15,67,0.085,-1.097,5.673,11.713,-6.082,38.806,52.239,0.269
AUROPHARMA,10,73,0.087,-1.207,6.344,8.342,-7.2,34.247,60.274,0.254
BANKINDIA,5,103,0.064,-0.954,6.618,8.217,-7.2,36.893,51.456,0.241
SUNPHARMA,3,85,0.057,-0.159,4.821,4.343,-2.721,44.706,37.647,0.234
IDEA,5,87,0.064,-0.615,5.549,10.449,-7.2,39.08,51.724,0.232
BHEL,5,98,0.051,-1.541,4.993,10.883,-7.2,40.816,52.041,0.206
WIPRO,15,30,0.07,0.43,2.106,8.1,-7.2,53.333,30.0,0.205
BLUESTARCO,3,35,0.068,-0.447,2.366,4.722,-3.2,45.714,34.286,0.183
HINDZINC,5,100,0.041,-0.734,4.125,8.532,-6.066,40.0,44.0,0.165
IDFCFIRSTB,3,73,0.038,-0.077,2.738,5.386,-4.102,49.315,32.877,0.158
HCLTECH,5,68,0.036,0.005,2.467,5.305,-6.167,50.0,29.412,0.15
BHARATFORG,3,89,0.038,-0.853,3.406,8.363,-4.998,39.326,33.708,0.142
INDHOTEL,5,34,0.073,-1.009,2.487,5.679,-2.849,29.412,64.706,0.125
BHARATFORG,15,87,0.05,-1.36,4.386,21.336,-7.2,26.437,64.368,0.124
KPITTECH,5,26,0.055,-1.379,1.425,6.787,-5.263,42.308,30.769,0.118
JSWSTEEL,15,91,0.03,-0.842,2.688,7.237,-7.2,40.659,43.956,0.115
TATAPOWER,10,47,0.044,-1.081,2.045,11.077,-7.2,36.17,59.574,0.108
ABCAPITAL,10,104,0.034,-0.717,3.503,8.75,-7.2,30.769,57.692,0.106
ADANIENSOL,5,87,0.033,-2.19,2.877,18.746,-7.2,34.483,37.931,0.106
WIPRO,10,30,0.029,1.028,0.855,4.119,-7.2,63.333,30.0,0.099
SOLARINDS,5,36,0.052,-0.827,1.868,14.372,-3.873,30.556,41.667,0.095
IDEA,3,92,0.028,-0.873,2.543,10.088,-7.2,35.87,35.87,0.095
HCLTECH,3,68,0.023,-0.232,1.59,4.104,-2.897,47.059,17.647,0.091
ANGELONE,3,38,0.032,-0.424,1.223,6.046,-4.183,42.105,31.579,0.084
IDEA,10,83,0.032,-1.398,2.652,16.411,-7.2,28.916,65.06,0.084
SUNPHARMA,5,85,0.02,-0.642,1.66,5.122,-2.721,45.882,40.0,0.083
MARUTI,3,54,0.022,-0.818,1.174,4.04,-2.851,38.889,27.778,0.062
HEROMOTOCO,5,54,0.007,-0.646,0.368,2.874,-3.438,42.593,33.333,0.021
SBICARD,10,17,0.0,-0.313,0.002,6.225,-3.53,41.176,41.176,0.0
VEDL,3,120,-0.0,-0.374,-0.007,9.734,-7.2,45.0,36.667,-0.0
HDFCBANK,5,10,-0.897,-0.692,-8.965,-0.402,-1.496,0.0,100.0,-0.0
HDFCBANK,10,10,-0.897,-0.692,-8.965,-0.402,-1.496,0.0,100.0,-0.0
HDFCBANK,15,10,-0.897,-0.692,-8.965,-0.402,-1.496,0.0,100.0,-0.0
ICICIBANK,15,13,-1.378,-1.264,-17.916,-0.359,-3.169,0.0,69.231,-0.0
INDHOTEL,10,27,-1.463,-1.398,-39.513,-0.354,-2.849,0.0,92.593,-0.0
INDHOTEL,15,26,-1.545,-1.398,-40.175,-0.354,-3.514,0.0,100.0,-0.0
PIIND,3,12,-1.591,-1.5,-19.09,-0.014,-3.472,0.0,41.667,-0.0
OBEROIRLTY,15,23,-1.632,-1.336,-37.537,-0.432,-4.332,0.0,95.652,-0.0
MPHASIS,5,23,-1.64,-1.299,-37.719,-0.27,-7.2,0.0,78.261,-0.0
DABUR,3,30,-1.751,-1.252,-52.526,-0.52,-4.607,0.0,80.0,-0.0
BRITANNIA,5,21,-1.877,-1.535,-39.416,-0.653,-4.237,0.0,76.19,-0.0
SHREECEM,5,15,-1.905,-1.62,-28.57,-0.382,-3.776,0.0,73.333,-0.0
DABUR,5,30,-2.06,-1.31,-61.809,-0.52,-4.607,0.0,83.333,-0.0
LICI,5,18,-2.081,-1.56,-37.467,-0.402,-7.2,0.0,38.889,-0.0
BRITANNIA,10,21,-2.107,-1.709,-44.241,-0.653,-4.569,0.0,85.714,-0.0
HINDUNILVR,5,15,-2.14,-2.082,-32.106,-0.563,-4.964,0.0,53.333,-0.0
DABUR,10,30,-2.228,-1.31,-66.836,-0.52,-4.939,0.0,100.0,-0.0
DABUR,15,30,-2.228,-1.31,-66.836,-0.52,-4.939,0.0,100.0,-0.0
DIXON,15,23,-2.244,-1.747,-51.618,-0.582,-7.2,0.0,100.0,-0.0
SHREECEM,10,15,-2.396,-2.506,-35.94,-0.382,-3.776,0.0,86.667,-0.0
BAJAJFINSV,10,25,-2.451,-3.426,-61.287,-0.281,-3.719,0.0,88.0,-0.0
LODHA,5,15,-2.465,-2.288,-36.971,-0.124,-4.572,0.0,66.667,-0.0
MPHASIS,10,19,-2.472,-1.359,-46.976,-0.273,-7.2,0.0,84.211,-0.0
BRITANNIA,15,21,-2.589,-1.709,-54.372,-0.653,-7.2,0.0,100.0,-0.0
IREDA,5,13,-2.605,-2.797,-33.871,-0.755,-4.871,0.0,92.308,-0.0
HDFCAMC,15,26,-2.613,-2.43,-67.93,-0.375,-5.826,0.0,100.0,-0.0
EXIDEIND,10,20,-2.642,-2.233,-52.848,-0.32,-5.762,0.0,75.0,-0.0
HINDUNILVR,15,15,-2.673,-2.7,-40.093,-0.563,-4.898,0.0,80.0,-0.0
IREDA,10,13,-2.778,-2.797,-36.117,-0.755,-4.871,0.0,100.0,-0.0
IREDA,15,13,-2.778,-2.797,-36.117,-0.755,-4.871,0.0,100.0,-0.0
TATAMOTORS,10,17,-2.848,-3.2,-48.414,-0.924,-3.807,0.0,100.0,-0.0
DLF,10,10,-2.904,-2.971,-29.042,-1.04,-4.758,0.0,70.0,-0.0
EXIDEIND,15,19,-2.935,-2.903,-55.757,-1.003,-6.523,0.0,89.474,-0.0
BAJAJHLDNG,5,10,-2.938,-1.895,-29.377,-0.048,-7.2,0.0,60.0,-0.0
MPHASIS,15,19,-2.952,-1.359,-56.092,-0.273,-7.2,0.0,100.0,-0.0
LICI,10,18,-3.007,-3.315,-54.135,-0.402,-7.2,0.0,100.0,-0.0
LICI,15,18,-3.007,-3.315,-54.135,-0.402,-7.2,0.0,100.0,-0.0
MAZDOCK,10,13,-3.008,-3.835,-39.102,-0.412,-6.472,0.0,76.923,-0.0
POLICYBZR,10,30,-3.03,-2.568,-90.895,-0.508,-7.2,0.0,90.0,-0.0
SUZLON,15,13,-3.03,-2.335,-39.388,-0.462,-7.2,0.0,100.0,-0.0
KPITTECH,15,26,-3.064,-2.448,-79.675,-0.18,-7.2,0.0,84.615,-0.0
VOLTAS,15,31,-3.155,-2.423,-97.793,-0.63,-7.2,0.0,90.323,-0.0
KAYNES,10,24,-3.165,-2.528,-75.951,-0.711,-7.2,0.0,91.667,-0.0
TATAMOTORS,15,11,-3.186,-3.485,-35.041,-1.271,-3.807,0.0,100.0,-0.0
DALBHARAT,10,16,-3.252,-3.18,-52.024,-1.189,-5.349,0.0,100.0,-0.0
DALBHARAT,15,16,-3.252,-3.18,-52.024,-1.189,-5.349,0.0,100.0,-0.0
CDSL,10,18,-3.296,-1.822,-59.322,-0.791,-7.2,0.0,66.667,-0.0
POLICYBZR,15,30,-3.297,-2.914,-98.925,-0.508,-7.2,0.0,100.0,-0.0
KAYNES,15,24,-3.316,-2.528,-79.59,-0.711,-7.2,0.0,100.0,-0.0
PRESTIGE,10,19,-3.356,-3.442,-63.758,-0.469,-7.2,0.0,78.947,-0.0
LODHA,10,13,-3.369,-2.288,-43.799,-1.766,-5.495,0.0,76.923,-0.0
BDL,10,13,-3.376,-2.351,-43.894,-1.412,-7.2,0.0,92.308,-0.0
SIEMENS,15,28,-3.495,-3.321,-97.871,-0.515,-7.2,0.0,100.0,-0.0
PRESTIGE,15,19,-3.509,-3.334,-66.678,-0.469,-7.2,0.0,89.474,-0.0
PIIND,15,12,-3.659,-3.714,-43.909,-1.232,-7.2,0.0,100.0,-0.0
BDL,15,13,-3.742,-2.351,-48.64,-1.412,-7.2,0.0,100.0,-0.0
LODHA,15,13,-3.763,-2.288,-48.913,-1.766,-7.2,0.0,100.0,-0.0
MANKIND,15,14,-3.834,-3.733,-53.677,-0.292,-7.2,0.0,92.857,-0.0
CONCOR,15,10,-3.879,-2.882,-38.787,-0.583,-7.2,0.0,100.0,-0.0
DLF,15,10,-3.971,-2.971,-39.71,-1.04,-7.2,0.0,100.0,-0.0
BAJAJHLDNG,10,10,-4.002,-3.006,-40.015,-0.627,-7.2,0.0,90.0,-0.0
RVNL,5,13,-4.09,-3.789,-53.168,-0.403,-7.2,0.0,92.308,-0.0
BAJAJHLDNG,15,10,-4.122,-3.609,-41.22,-0.627,-7.2,0.0,100.0,-0.0
WAAREEENER,15,14,-4.166,-3.927,-58.326,-1.177,-7.2,0.0,100.0,-0.0
PGEL,15,18,-4.171,-3.753,-75.073,-0.794,-7.2,0.0,100.0,-0.0
RVNL,10,13,-4.173,-3.789,-54.249,-0.48,-7.2,0.0,100.0,-0.0
RVNL,15,13,-4.173,-3.789,-54.249,-0.48,-7.2,0.0,100.0,-0.0
MAZDOCK,15,13,-4.367,-4.082,-56.769,-0.606,-7.2,0.0,100.0,-0.0
CROMPTON,10,21,-4.548,-3.957,-95.514,-1.816,-7.2,0.0,76.19,-0.0
CROMPTON,15,21,-5.141,-7.2,-107.963,-1.816,-7.2,0.0,100.0,-0.0
POLYCAB,15,66,-0.004,-1.288,-0.273,13.508,-7.2,37.879,62.121,-0.013
INDIGO,3,12,-0.013,0.213,-0.15,1.012,-1.75,50.0,41.667,-0.022
AUROPHARMA,3,73,-0.007,0.002,-0.517,4.658,-3.6,50.685,31.507,-0.031
GMRAIRPORT,10,70,-0.017,-0.983,-1.215,11.884,-7.2,27.143,64.286,-0.039
ADANIGREEN,5,40,-0.018,-1.263,-0.713,10.326,-7.2,37.5,37.5,-0.042
MUTHOOTFIN,15,70,-0.018,-1.098,-1.293,11.324,-7.2,31.429,61.429,-0.049
SUNPHARMA,10,85,-0.013,-0.642,-1.145,4.053,-4.55,44.706,47.059,-0.056
RELIANCE,15,53,-0.026,-0.476,-1.375,3.58,-3.665,32.075,56.604,-0.061
TATAPOWER,5,47,-0.031,-0.739,-1.458,5.717,-5.837,38.298,46.809,-0.081
BOSCHLTD,5,14,-0.039,0.72,-0.545,3.094,-3.723,57.143,14.286,-0.083
MANAPPURAM,5,67,-0.026,-1.224,-1.735,9.266,-7.2,41.791,44.776,-0.089
HINDZINC,3,100,-0.026,-0.387,-2.616,5.892,-5.544,41.0,35.0,-0.107
CANBK,3,102,-0.026,-0.465,-2.655,6.049,-5.263,42.157,32.353,-0.111
LTIM,3,64,-0.034,-0.325,-2.165,3.78,-4.131,46.875,35.938,-0.127
NUVAMA,5,48,-0.079,-1.185,-3.808,21.946,-7.2,35.417,52.083,-0.195
SUPREMEIND,15,27,-0.122,-0.774,-3.301,8.053,-7.2,33.333,66.667,-0.212
HEROMOTOCO,3,54,-0.063,-0.189,-3.415,2.884,-3.192,46.296,33.333,-0.215
BANKINDIA,3,103,-0.053,-0.614,-5.51,10.148,-3.907,41.748,41.748,-0.227
GMRAIRPORT,5,75,-0.079,-0.62,-5.922,8.847,-7.2,36.0,56.0,-0.246
GODREJCP,5,27,-0.081,0.128,-2.186,2.925,-5.904,59.259,25.926,-0.249
TORNTPHARM,15,65,-0.104,-0.88,-6.731,9.453,-7.2,30.769,66.154,-0.257
PRESTIGE,3,25,-0.163,-0.469,-4.076,7.326,-2.754,32.0,16.0,-0.261
M&M,3,43,-0.106,-0.576,-4.546,5.078,-3.077,39.535,37.209,-0.274
WIPRO,3,30,-0.121,-0.308,-3.63,4.199,-5.14,43.333,13.333,-0.287
ICICIGI,10,22,-1.352,-1.177,-29.75,1.568,-3.551,4.545,86.364,-0.288
HINDPETRO,3,48,-0.14,-0.994,-6.724,5.32,-3.486,31.25,50.0,-0.303
GMRAIRPORT,15,61,-0.158,-0.983,-9.637,13.721,-7.2,24.59,75.41,-0.303
LICHSGFIN,10,10,-0.959,-1.549,-9.591,7.447,-3.2,10.0,90.0,-0.303
WIPRO,5,30,-0.122,-0.062,-3.661,3.976,-5.597,46.667,13.333,-0.312
MANAPPURAM,3,67,-0.092,-0.282,-6.137,6.954,-6.421,41.791,34.328,-0.313
OBEROIRLTY,10,23,-1.542,-1.336,-35.475,0.563,-4.332,4.348,95.652,-0.322
NYKAA,10,65,-2.606,-2.62,-169.4,1.523,-7.2,1.538,73.846,-0.323
MOTILALOFS,5,22,-0.323,-1.114,-7.113,15.546,-5.413,22.727,31.818,-0.345
