date,symbol,sector,setup_type,bias,spot_close,planned_stop,risk_pct_to_stop,planned_holding_days,expected_avg_return_pct,research_edge_score,alpha_score,trend_ret20_pct,trend_rs20_pct,trend_sma20,trend_sma50,ifs_score,conviction_score,macro_regime_prob,setup_hist_avg_return_pct,setup_hist_win_rate_pct,setup_hist_trades,sector_hist_avg_return_pct,sector_hist_win_rate_pct,sector_hist_trades,symbol_hist_avg_return_pct,symbol_hist_win_rate_pct,symbol_hist_trades,trigger_strike,invalidation_strike,suggested_strategy,gamma_regime,structural_bias
2026-06-23,BANDHANBNK,NIFTY PVT BANK,FLOOR_BOUNCE,Bullish Mean Reversion,207.12,201.925,-2.5082078022402476,15,0.3592,0.8249,47.39,5.153068995278476,6.0169279815341365,206.712,196.09019999999998,100.0,25.5,26.4,0.082,29.483,1160,0.462,35.694,720,0.803,36.667,60.0,205.0,201.925,Bull Put Spread (Credit),LONG_GAMMA,Support Building
2026-06-23,AXISBANK,NIFTY PVT BANK,FLOOR_BOUNCE,Bullish Mean Reversion,1363.5,1329.75,-2.4752475247524774,15,0.1986,0.7087,51.83,3.9887126296522135,4.852571615907875,1313.5700000000002,1306.376,64.9,34.8,26.4,0.082,29.483,1160,0.462,35.694,720,0.0,0.0,,1350.0,1329.75,Bull Put Spread (Credit),LONG_GAMMA,Support Building
2026-06-23,LT,NIFTY INFRA,FLOOR_BOUNCE,Regime Transition,4179.3,4158.0,-0.5096547268681362,15,0.0446,0.3713,33.49,3.619774879754045,4.483633866009706,4048.5449999999996,4019.116,19.1,36.2,26.4,0.082,29.483,1160,0.022,37.669,1107,0.0,0.0,,4200.0,4158.0,Bull Put Spread (Credit),LONG_GAMMA,Flip Zone
2026-06-23,GMRAIRPORT,NIFTY INFRA,FLOOR_BOUNCE,Bullish Mean Reversion,107.37,103.425,-3.6742106733724578,15,0.0446,0.3167,28.03,10.804953560371523,11.668812546627183,102.92250000000001,99.288,26.1,42.4,26.4,0.082,29.483,1160,0.022,37.669,1107,0.0,0.0,,105.0,103.425,Bull Put Spread (Credit),LONG_GAMMA,Support Building
