symbol,date,flip,conf,strength,dir,entry_close,fwd1,fwd3,fwd5
360ONE,2025-07-31,BEARISH_TO_BULLISH,1.4,WEAK,1.0,1052.4,-0.038008361839613355,0.41809198023563887,-0.912200684150526
360ONE,2025-09-23,BULLISH_TO_BEARISH,41.9,MODERATE,-1.0,1026.5,0.4286410131514834,-0.2338041889917283,-0.974184120798831
360ONE,2025-10-24,BEARISH_TO_BULLISH,6.4,WEAK,1.0,1173.0,-0.1023017902813338,-4.552429667519189,-6.768968456948005
360ONE,2025-11-03,BULLISH_TO_BEARISH,1.8,WEAK,-1.0,1079.05,1.0055141096334657,0.412399796116959,-0.9221074092952176
360ONE,2025-11-14,BEARISH_TO_BULLISH,10.3,WEAK,1.0,1071.8,0.5784661317410007,6.559059526030972,5.411457361448031
360ONE,2026-01-05,BULLISH_TO_BEARISH,4.0,WEAK,-1.0,1187.0,-0.4043807919123803,3.8837405223251817,4.229149115417021
360ONE,2026-01-23,BEARISH_TO_BULLISH,28.0,WEAK,1.0,1113.7,2.3525186315884032,1.849690221783237,4.839723444374595
360ONE,2026-02-06,BULLISH_TO_BEARISH,40.8,MODERATE,-1.0,1138.25,-2.1216780144959446,-0.5403030968592217,1.6384801229958348
360ONE,2026-02-17,BEARISH_TO_BULLISH,7.5,WEAK,1.0,1127.2,-2.0138396025550076,-0.026614620298079712,0.4080908445706094
360ONE,2026-02-23,BULLISH_TO_BEARISH,3.0,WEAK,-1.0,1113.4,-1.6525956529549004,0.880186815160785,4.221304113526136
360ONE,2026-04-10,BEARISH_TO_BULLISH,31.9,WEAK,1.0,1009.5,4.606240713224369,10.277365032194155,9.787023278850912
360ONE,2026-04-22,BULLISH_TO_BEARISH,55.0,MODERATE,-1.0,1052.25,1.2021857923497354,1.2639581848420007,1.6726063197909158
360ONE,2026-04-24,BEARISH_TO_BULLISH,6.8,WEAK,1.0,1042.05,-0.29749052348734795,-0.710138668969806,2.74938822513316
360ONE,2026-07-21,BULLISH_TO_BEARISH,5.7,WEAK,-1.0,1093.6,,,
