setup_type,rs20_bucket,holding_days,trades,avg_return_pct,median_return_pct,total_return_pct,best_return_pct,worst_return_pct,win_rate_pct,stop_rate_pct,expectancy_rank
REGIME_SHIFT,rs_0_5,10,657,-0.592,-1.026,-388.86,15.335,-7.2,24.049,64.079,-3.648
INVENTORY_MIGRATION,rs_0_5,5,951,-0.332,-0.772,-315.812,11.87,-7.2,35.752,42.376,-3.661
IV_SKEW_ACCUMULATION,rs_gt_10,10,1122,-0.385,-1.7,-431.79,30.548,-7.2,29.144,62.567,-3.757
INVENTORY_MIGRATION,rs_0_5,3,965,-0.333,-0.577,-321.026,11.304,-7.2,37.72,33.782,-3.898
IV_SKEW_ACCUMULATION,rs_5_10,5,1026,-0.339,-0.863,-347.968,16.31,-7.2,36.745,45.127,-3.992
REGIME_SHIFT,rs_gt_10,5,558,-0.61,-1.033,-340.218,14.383,-7.2,28.136,53.047,-4.052
INVENTORY_MIGRATION,rs_5_10,3,1069,-0.358,-0.612,-382.85,12.729,-7.2,36.67,32.928,-4.294
IV_SKEW_ACCUMULATION,rs_gt_10,5,1144,-0.362,-1.099,-414.558,21.414,-7.2,35.402,50.0,-4.339
IV_SKEW_ACCUMULATION,rs_0_5,5,930,-0.444,-0.912,-412.88,12.37,-7.2,33.226,46.882,-4.498
IV_SKEW_ACCUMULATION,rs_0_5,15,898,-0.553,-1.558,-496.346,28.443,-7.2,27.171,67.595,-4.5
INVENTORY_MIGRATION,rs_5_10,5,1048,-0.383,-0.779,-401.354,21.946,-7.2,36.832,41.603,-4.566
INVENTORY_MIGRATION,rs_gt_10,10,1182,-0.419,-1.573,-495.213,27.996,-7.2,31.81,56.768,-4.582
INVENTORY_MIGRATION,rs_0_5,10,918,-0.512,-1.098,-469.979,15.335,-7.2,30.392,55.229,-4.714
IV_SKEW_ACCUMULATION,rs_0_5,10,908,-0.551,-1.296,-500.755,21.426,-7.2,29.405,60.022,-4.887
INVENTORY_MIGRATION,rs_5_10,10,1015,-0.494,-1.183,-500.949,27.854,-7.2,31.33,54.778,-4.926
INVENTORY_MIGRATION,rs_gt_10,3,1219,-0.382,-0.744,-465.443,21.11,-7.2,37.818,33.634,-5.042
INVENTORY_MIGRATION,rs_5_10,15,992,-0.577,-1.473,-572.718,45.074,-7.2,28.931,61.492,-5.261
INVENTORY_MIGRATION,rs_0_5,15,912,-0.71,-1.422,-647.441,18.386,-7.2,26.754,64.035,-5.736
INVENTORY_MIGRATION,rs_gt_10,5,1207,-0.468,-1.081,-565.19,17.001,-7.2,35.543,43.579,-5.782
