setup_type,alpha_score_bucket,holding_days,trades,avg_return_pct,median_return_pct,total_return_pct,best_return_pct,worst_return_pct,win_rate_pct,stop_rate_pct,expectancy_rank
PINCH_ZONE,40-60,10,160,-0.515,-1.254,-82.406,11.884,-7.2,21.25,73.125,-1.384
REGIME_SHIFT,60-80,10,172,-0.343,-1.084,-58.99,18.92,-7.2,31.395,59.302,-1.412
IV_SKEW_ACCUMULATION,40-60,5,614,-0.154,-0.778,-94.7,17.94,-7.2,40.554,42.345,-1.55
REGIME_SHIFT,60-80,5,180,-0.35,-0.769,-63.036,9.151,-7.2,35.556,49.444,-1.671
REGIME_SHIFT,40-60,3,407,-0.238,-0.627,-96.874,13.992,-7.2,36.855,36.855,-1.77
INVENTORY_MIGRATION,60-80,5,371,-0.231,-0.687,-85.794,10.063,-7.2,40.431,42.318,-1.801
IV_SKEW_ACCUMULATION,60-80,3,199,-0.342,-0.634,-68.068,8.44,-7.2,39.698,33.668,-1.916
REGIME_SHIFT,60-80,3,185,-0.4,-0.687,-73.977,7.915,-7.2,37.297,36.757,-2.029
INVENTORY_MIGRATION,40-60,15,829,-0.26,-1.654,-215.246,45.074,-7.2,28.83,62.967,-2.155
INVENTORY_MIGRATION,00-20,3,454,-0.307,-0.547,-139.587,9.467,-7.2,38.767,34.141,-2.54
REGIME_SHIFT,20-40,15,808,-0.349,-1.2,-282.288,24.373,-7.2,26.361,67.079,-2.618
REGIME_SHIFT,20-40,10,823,-0.348,-1.021,-286.239,20.467,-7.2,27.096,61.118,-2.704
REGIME_SHIFT,00-20,3,434,-0.432,-0.76,-187.66,7.881,-7.2,31.106,48.387,-2.802
INVENTORY_MIGRATION,60-80,3,378,-0.374,-0.612,-141.468,8.44,-7.2,40.212,31.481,-2.926
REGIME_SHIFT,40-60,15,388,-0.583,-1.344,-226.203,27.728,-7.2,25.773,66.495,-2.96
REGIME_SHIFT,20-40,3,856,-0.318,-0.73,-271.977,12.392,-7.2,32.593,42.29,-3.03
REGIME_SHIFT,40-60,5,403,-0.453,-0.938,-182.738,16.5,-7.2,33.499,45.658,-3.049
REGIME_SHIFT,00-20,15,418,-0.988,-1.292,-413.136,17.824,-7.2,15.789,79.426,-3.191
INVENTORY_MIGRATION,40-60,10,842,-0.347,-1.217,-292.162,27.996,-7.2,32.542,55.344,-3.276
REGIME_SHIFT,20-40,5,844,-0.39,-0.892,-329.09,14.383,-7.2,29.265,51.777,-3.315
REGIME_SHIFT,00-20,10,428,-0.923,-1.224,-395.008,17.29,-7.2,18.458,73.131,-3.524
INVENTORY_MIGRATION,00-20,5,448,-0.477,-0.879,-213.73,21.946,-7.2,35.491,43.304,-3.584
IV_SKEW_ACCUMULATION,00-20,3,763,-0.353,-0.676,-269.277,8.274,-7.2,37.221,39.712,-3.629
IV_SKEW_ACCUMULATION,00-20,5,749,-0.385,-0.902,-288.153,11.239,-7.2,34.579,49.8,-3.641
REGIME_SHIFT,00-20,5,432,-0.702,-0.973,-303.205,10.383,-7.2,25.926,59.259,-3.782
INVENTORY_MIGRATION,00-20,10,442,-0.621,-1.339,-274.644,18.199,-7.2,28.959,56.109,-3.783
REGIME_SHIFT,40-60,10,392,-0.706,-1.195,-276.744,27.996,-7.2,27.551,59.949,-3.851
IV_SKEW_ACCUMULATION,00-20,15,716,-0.607,-1.634,-434.489,21.336,-7.2,24.302,71.229,-3.946
INVENTORY_MIGRATION,00-20,15,433,-0.741,-1.565,-320.702,17.824,-7.2,26.328,64.203,-4.058
INVENTORY_MIGRATION,40-60,3,883,-0.366,-0.688,-322.928,13.992,-7.2,37.712,33.522,-4.098
INVENTORY_MIGRATION,40-60,5,870,-0.4,-0.834,-347.923,18.746,-7.2,36.782,42.184,-4.339
IV_SKEW_ACCUMULATION,00-20,10,735,-0.604,-1.448,-443.69,14.857,-7.2,27.483,63.537,-4.498
IV_SKEW_ACCUMULATION,20-40,10,1497,-0.439,-1.441,-657.025,30.548,-7.2,29.726,60.655,-5.048
INVENTORY_MIGRATION,20-40,3,1535,-0.369,-0.694,-566.7,21.11,-7.2,36.091,33.681,-5.22
IV_SKEW_ACCUMULATION,20-40,3,1567,-0.377,-0.744,-590.993,21.11,-7.2,35.801,37.715,-5.345
IV_SKEW_ACCUMULATION,20-40,15,1467,-0.53,-1.729,-777.292,34.399,-7.2,26.994,67.28,-5.478
INVENTORY_MIGRATION,20-40,5,1514,-0.423,-0.896,-640.765,17.001,-7.2,34.61,42.668,-5.7
IV_SKEW_ACCUMULATION,20-40,5,1539,-0.486,-1.084,-747.598,21.414,-7.2,32.878,48.863,-6.266
INVENTORY_MIGRATION,20-40,10,1470,-0.574,-1.278,-843.195,20.467,-7.2,30.204,56.122,-6.643
INVENTORY_MIGRATION,20-40,15,1446,-0.713,-1.608,-1031.33,24.903,-7.2,27.801,63.831,-7.54
